"featureNames","featureDescriptions"
"mi1","miRNA: Identity of nuleotide at position 1"
"mi2","miRNA: Identity of nuleotide at position 2"
"mi3","miRNA: Identity of nuleotide at position 3"
"mi4","miRNA: Identity of nuleotide at position 4"
"mi5","miRNA: Identity of nuleotide at position 5"
"mi6","miRNA: Identity of nuleotide at position 6"
"mi7","miRNA: Identity of nuleotide at position 7"
"mi8","miRNA: Identity of nuleotide at position 8"
"mi9","miRNA: Identity of nuleotide at position 9"
"mi10","miRNA: Identity of nuleotide at position 10"
"mi11","miRNA: Identity of nuleotide at position 11"
"mi12","miRNA: Identity of nuleotide at position 12"
"mi13","miRNA: Identity of nuleotide at position 13"
"mi14","miRNA: Identity of nuleotide at position 14"
"mi15","miRNA: Identity of nuleotide at position 15"
"mi16","miRNA: Identity of nuleotide at position 16"
"mi17","miRNA: Identity of nuleotide at position 17"
"mi18","miRNA: Identity of nuleotide at position 18"
"mi19","miRNA: Identity of nuleotide at position 19"
"mi20","miRNA: Identity of nuleotide at position 20"
"N","Total number of sites found"
"nc1","Number of sites belonging to class 1: Perfect wc match to 2-7 plus either: adenine at position 1, match at position 8, match at positions 1 and 8"
"nc2","Number of sites belonging to class 2: Match to 2-7 with GU pairing plus either: adenine at position 1, match at position 8, match at positions 1 and 8"
"nc3","Number of sites belonging to class 3: WC match to 2-7 with one mismatch plus either: adenine at position 1, match at position 8, match at positions 1 and 8"
"nc4","Number of sites belonging to class 4: Match to 2-7 with GU pairing and one mismatch plus either: adenine at position 1, match at position 8, match at positions 1 and 8"
"nc5","Number of sites belonging to class 5: Perfect wc match to 2-7"
"nc6","Number of sites belonging to class 6: Perfect 11nt WC match starting from 3, 4 or 5"
"nc7","Number of sites belonging to class 7: 11nt match including GU pairing starting from 3, 4 or 5"
"nc8","Number of sites belonging to class 8: 11nt match except for one mismatch starting from 3, 4 or 5"
"nc9","Number of sites belonging to class 9: 11nt match including GU pairing except for one mismatch starting from 3, 4 or 5"
"c1_end3'distMean","For sites of class 1: Mean distance from 3' end"
"c1_end3'distMedian","For sites of class 1: Median distance from 3' end"
"c1_end3'distVar","For sites of class 1: Variance of distance from 3' end"
"c1_stopdistMean","For sites of class 1: Mean distance from stop codon"
"c1_stopdistMedian","For sites of class 1: Median distance from stop codon"
"c1_stopdistVar","For sites of class 1: Variance of distance from stop codon"
"c1_bindEnMin","For sites of class 1: Minimum site binding energy value"
"c1_bindEnMean","For sites of class 1: Mean site binding energy"
"c1_bindEnVar","For sites of class 1: Variance of site binding energy"
"c1_bindEnMedian","For sites of class 1: Median site binding energy"
"c1_5'UTRFreq","For sites of class 1: Frequency of sites in 5'UTR"
"c1_CDSFreq","For sites of class 1: Frequency of sites in CDS"
"c1_3'UTRFreq","For sites of class 1: Frequency of sites in 3'UTR"
"c1_RISCAccEngMean","For sites of class 1: Mean energy needed to make sites accessible to RISC"
"c1_RISCAccEngMedian","For sites of class 1: Median energy needed to make sites accessible to RISC"
"c1_RISCAccEngMin","For sites of class 1: Min value of energy needed to make a site accessible to RISC"
"c1_RISCAccEngVar","For sites of class 1: Variance of energy needed to make sites accessible to RISC"
"c1_NearEngDiffMean","For sites of class 1: Mean diffence in binding energy between sites and their nearby regions"
