"","Mean Accuracy","Std Dev Accuracy","Mean Specificity","Mean Sensitivity","0","1","0","1"
"miR-1289",0.676,0.004,0.472,0.886,896,867,896,867
"miR-155",0.613,0.009,0.738,0.596,32,233,32,233
"miR-199a",0.686,0.015,0.522,0.826,156,182,156,182
"miR-424",0.642,0.017,0.518,0.831,127,83,127,83
"miR-4536",0.601,0.009,0.495,0.761,172,114,172,114
"miR-548d",0.535,0.014,0.986,0.072,1598,1554,1598,1554
"miR-23b",0.835,0.008,0.702,0.952,338,384,338,384
"miR-10a",0.63,0.004,0.484,0.766,748,798,748,798
"miR-182",0.614,0.009,0.287,0.936,491,500,491,500
"miR-30e",0.608,0.02,0.883,0.528,64,220,64,220
